id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45633569,"Entire Apartment - South Austin, TX",369678296,Katherine,,78704,30.23466,-97.78257,Entire home/apt,,7,12,2021-11-07,0.24,1,0,0,
45634345,South Congress Zen Den! Walk Everywhere!,173070555,Adam,,78704,30.24757,-97.75279,Entire home/apt,178,2,40,2024-10-21,0.80,2,122,13,
45655787,Walk to the Golf Course! 2BD Apt + Pool + Parking,50214619,Ames - Austin Vacay,,78703,30.289993177809492,-97.77290605435009,Entire home/apt,92,1,191,2024-11-30,3.74,28,363,37,
45688270,Best ACL Fest Apartment in Austin,5796364,Dave,,78704,30.260582962071766,-97.7667713587608,Entire home/apt,,3,9,2024-10-07,0.18,1,0,1,
45691473,Charming Back House . Free Bikes . Tesla Charger,7270902,Meshelle,,78702,30.25736,-97.69904,Entire home/apt,82,1,29,2024-11-04,0.76,22,45,28,
45691527,Private Room w/Room to Stretch,3686883,Sheila,,78748,30.176743790506173,-97.82617625682433,Private room,42,30,10,2024-09-30,0.41,1,183,6,
45696200,Bachelor(ette) Mansion | Heart of ATX | Sleeps 28,9796520,Preston,,78741,30.243925210506724,-97.73212723093276,Entire home/apt,478,3,105,2024-11-11,2.36,5,316,24,
45697893,Spiral Staircase loft! Fireplace + swimming pool,15516285,Carrie,,78741,30.22749,-97.73654,Entire home/apt,75,30,6,2023-02-01,0.13,1,179,0,
45713476,UT Austin est campus area,370495236,Joshua,,78705,30.29044,-97.74706,Private room,,53,0,,,1,0,0,
45721111,Quiet neighborhood 10-15 mins from downtown Austin,370592894,Tanner,,78747,30.15225,-97.75456,Private room,,1,0,,,1,0,0,
45721928,Spacious Home in Circle C,1651466,Justin,,78739,30.18883,-97.92239,Entire home/apt,,30,1,2021-10-22,0.03,1,22,0,
